Sub-Saharan Africa (all income levels),309
Sub-Saharan Africa (developing only),248
World,212
South Asia,185
European Union,142
East Asia & Pacific (all income levels),90
Latin America & Caribbean (all income levels),87
Euro area,76
East Asia & Pacific (developing only),69
Least developed countries: UN classification,64
Europe & Central Asia (all income levels),58
North America,50
Middle East & North Africa (all income levels),44
Latin America & Caribbean (developing only),40
Arab World,38
Middle East & North Africa (developing only),32
OECD members,32
Europe & Central Asia (developing only),22
Pacific island small states,22
Caribbean small states,18
Other small states,2
Small states,2
